"words" "score"
"for some reason" 2176
"for the day" 1472
"for the first" 6720
"for the follow" 5440
"for the last" 2304
"for the mention" 1344
"for them to" 1536
"for the new" 1792
"for the next" 3328
"for the past" 2368
"for the rest" 2368
"for the rt" 2944
"for the second" 1344
"for the state" 1408
"for those of" 1536
"for those who" 2304
"for us to" 1600
"forward to seeing" 1600
"forward to the" 1728
"for you to" 2176
"front of the" 2624
"get back to" 1984
"get out of" 2304
"get rid of" 1280
"getting ready to" 1408
"get to the" 1984
"give it a" 1280
"give me a" 1408
"go back to" 2304
"going to be" 14912
"going to do" 2432
"going to get" 2240
"going to go" 1600
"going to have" 2112
"going to make" 1408
"going to see" 1344
"going to take" 1280
"going to the" 3008
"go to a" 1344
"go to the" 4160
"great way to" 1344
"grew up in" 1472
"had a great" 2368
"had to be" 2304
"had to do" 1344
"half of the" 1600
"hall of fame" 1344
"has always been" 1344
"has been a" 4416
"has been in" 1280
"has been the" 1408
"hasn t been" 1856
"has to be" 3584
"have a good" 2112
"have a great" 3904
"have a lot" 1920
"have been a" 1664
"have been the" 1344
"have had a" 1600
"have no idea" 1920
"haven t been" 2304
"haven t seen" 1664
"have time to" 1344
"have to be" 4736
"have to do" 3008
"have to get" 1408
"have to go" 2240
"have to say" 2304
"head of the" 1280
"he can t" 1408
"he did not" 1792
"he didn t" 5440
"he doesn t" 3904
"he had a" 1600
"he has a" 2112
"he has been" 1280
"he is a" 2304
"here s a" 2496
"here s the" 2048
"he s a" 3328
"he said and" 1344
"he said he" 3968
"he said i" 2880
"he said it" 2304
"he said that" 1472
"he said the" 3904
"he s been" 1280
"he s not" 2496
"he s the" 1344
"he told me" 1344
"he wanted to" 1920
"he wants to" 1984
"he was a" 4416
"he was in" 1344
"he wasn t" 2240
"he was the" 1344
"he will be" 1856
"hope you re" 1280
"how are you" 2624
"how did you" 1280
"how do you" 3520
"i am a" 3136
"i am going" 1920
"i am in" 1280
"i am not" 4736
"i am so" 4032
"i am still" 1408
"i believe that" 1280
"i can be" 1344
"i can do" 1792
"i can get" 1856
"i can see" 1920
"i can t" 19776
"i could have" 2112
"i couldn t" 5696
"i d be" 1472
"i decided to" 3904
"i did not" 2176
"i didn t" 17664
"i d like" 3008
"i d love" 1792
"i do not" 3776
"i don t" 49600
"i d rather" 1920
"i feel like" 4352
"i felt like" 1600
"if i can" 2560
"if i could" 2048
"if i had" 1792
"if i m" 1856
"if it is" 1856
"if it s" 3712
"if it was" 2176
"if there is" 1600
"if they are" 1664
"if you are" 7360
"if you can" 3776
"if you do" 1344
"if you don" 4352
"if you have" 3520
"if you haven" 1536
"if you like" 1408
"if you re" 8768
"if you think" 1280
"if you ve" 1408
"if you want" 4800
"i get a" 1728
"i get to" 2112
"i got a" 1792
"i got to" 1536
"i guess i" 2624
"i had a" 5952
"i hadn t" 1408
"i had the" 1664
"i had to" 7616
"i have a" 8576
"i have been" 5888
"i have had" 1408
"i have never" 1600
"i have no" 3328
"i haven t" 7040
"i have the" 2368
"i have to" 9472
"i hope that" 1344
"i hope to" 1280
"i hope you" 3392
"i just got" 1344
"i just want" 1792
"i knew i" 1344
"i know i" 5120
"i know it" 2496
"i know that" 3008
"i know what" 1280
"i know you" 1984
"i like the" 1408
"i like to" 2496
"i ll be" 8384
"i ll have" 1856
"i ll just" 1280
"i ll take" 1472
"i love it" 2304
"i love my" 2240
"i love the" 3136
"i love this" 1664
"i love to" 1344
"i love you" 6976
"i m a" 7232
"i m also" 1280
"i m doing" 1920
"i m excited" 1344
"i m glad" 2944
"i m going" 8448
"i m gonna" 2368
"i m in" 3584
"i miss you" 2112
"i m just" 4032
"i m looking" 1856
"i m not" 19456
"i m on" 2048
"i m pretty" 2240
"i m really" 1920
"i m so" 4864
"i m sorry" 2368
"i m still" 3136
"i m sure" 5120
"i m the" 1280
"i m thinking" 1536
"i m tired" 1536
"i m trying" 1408
"in addition to" 3328
"in a few" 2624
"in and out" 1408
"in a new" 1344
"in an interview" 1472
"in a row" 2176
"in a statement" 2560
"in a very" 1280
"in a way" 1920
"i need a" 2432
"i needed to" 1280
"i need to" 7040
"in fact i" 1536
"in favor of" 1472
"in front of" 6784
"in los angeles" 1536
"in love with" 2560
"in my head" 2432
"in my life" 2304
"in my opinion" 1536
"in new jersey" 1408
"in new york" 4032
"in one of" 1664
"in order to" 7104
"in other words" 1408
"in recent years" 1856
"in response to" 1344
"instead of the" 1344
"in terms of" 3520
"in the air" 1920
"in the area" 1536
"in the back" 2688
"in the block" 1408
"in the book" 1920
"in the car" 1472
"in the case" 2048
"in the city" 2944
"in the country" 3520
"in the day" 2176
"in the early" 1792
"in the end" 3264
"in the face" 1280
"in the fall" 1728
"in the final" 2176
"in the first" 8000
"in the fourth" 1664
"in the future" 2048
"in the game" 2048
"in the house" 2304
"in the last" 3648
"in the meantime" 1856
"in the middle" 4928
"in the morning" 3712
"in the new" 1920
"in the next" 3136
"in the past" 6016
"in the process" 1536
"in the rain" 1280
"in the s" 6784
"in the same" 4416
"in the second" 3136
"in the state" 2496
"in the th" 1792
"in the third" 1984
"in the top" 1600
"in the u" 2496
"in the united" 3520
"in the us" 1600
"in the way" 1472
"in the world" 8320
"in this case" 1664
"in to the" 1280
"involved in the" 1600
"in your life" 1920
"is a good" 2944
"is a great" 3072
"is all about" 1728
"is also a" 1600
"is a very" 2752
"is expected to" 4096
"is going to" 9088
"i should be" 1408
"i should have" 1792
"is in the" 3200
"is not a" 4288
"is not the" 2688
"isn t a" 1600
"isn t it" 1536
"isn t the" 1664
"is one of" 8128
"is on the" 1920
"is part of" 1408
"is so much" 1344
"is such a" 1984
"is that it" 1472
"is that the" 3840
"is that you" 1408
"is the best" 2944
"is the first" 2688
"is the most" 1856
"is the one" 1600
"is the only" 2624
"is the same" 1408
"i still have" 1664
"is to be" 2048
"is trying to" 1728
"is what i" 1536
"it as a" 1856
"it can be" 2688
"it comes to" 3840
"it could be" 2368
"it didn t" 4160
"it doesn t" 6528
"it feels like" 1280
"it has a" 1536
"it has been" 3392
"it has to" 1664
"i think about" 1408
"i think he" 1600
"i think i" 7872
"i think it" 7296
"i think of" 1408
"i think that" 3840
"i think the" 2816
"i think they" 1600
"i think this" 1472
"i think we" 2752
"i think you" 1536
"i thought i" 2624
"i thought it" 2368
"it in the" 2752
"it is a" 8320
"it is not" 4288
"it isn t" 1600
"it is the" 5184
"it is to" 1344
"it ll be" 1792
"it looks like" 2432
"it makes me" 1344
"it may be" 1664
"i told him" 1472
"it on the" 1664
"i try to" 1792
"it s a" 23232
"it s about" 2624
"it s all" 4352
"it s also" 1344
"it s always" 1472
"it s an" 2432
"it s been" 6400
"it seems like" 1408
"it s going" 3456
"it s good" 1344
"it s hard" 2816
"it should be" 1856
"it s important" 1600
"it s in" 1280
"it s just" 6528
"it s like" 3776
"it s my" 1280
"it s nice" 1472
"it s not" 16640
"it s one" 1280
"it s only" 2496
"it s really" 3008
"it s so" 3200
"it s still" 2048
"it s that" 1408
"it s the" 9856
"it s time" 3456
"it s very" 2240
"it to be" 1344
"it to the" 2880
"it was a" 13056
"it was all" 1600
"it was an" 1408
"it was just" 2368
"it was not" 1920
"it wasn t" 6208
"it was so" 1920
"it was the" 4992
"it was very" 1280
"it will be" 6400
"it won t" 1536
"it would be" 7488
"i used to" 2432
"i ve always" 1408
"i ve been" 13952
"i ve ever" 2048
"i ve got" 4224
"i ve had" 3456
"i ve never" 2496
"i ve seen" 2368
"i wanted to" 7232
"i want to" 11200
"i was a" 3712
"i was able" 1344
"i was at" 1344
"i was going" 2624
"i was in" 3200
"i was not" 1344
"i wasn t" 4736
"i was really" 1344
"i was so" 2368
"i went to" 2880
"i will be" 4736
"i will not" 1344
"i wish i" 4224
"i woke up" 1472
"i wonder if" 1920
"i won t" 3904
"i would be" 1472
"i would have" 2816
"i would like" 3136
"i would love" 2304
"i would not" 1472
"i wouldn t" 3008
"just a few" 1920
"just can t" 1344
"just don t" 1664
"just have to" 1984
"just wanted to" 2048
"just want to" 1920
"kind of a" 1472
"know how to" 2688
"know if you" 1600
"know it s" 1792
"know what i" 2112
"know what to" 1408
"know what you" 1280
"last year s" 2176
"later in the" 1280
"left in the" 1472
"less than a" 1408
"let me know" 4480
"let s get" 1280
"let s go" 1984
"let us know" 2240
"like i m" 1280
"like to be" 1408
"live in a" 1280
"ll have to" 1728
"look at the" 4160
"look forward to" 3648
"looking at the" 1280
"looking for a" 3328
"looking forward to" 8384
"looks like a" 2304
"lot of people" 1920
"love to see" 1344
"make it a" 1280
"make sure you" 1728
"many of the" 2496
"many of you" 1472
"may have been" 1536
"may not be" 1600
"me and i" 1408
"me and my" 1536
"me i m" 1344
"me in the" 1600
"member of the" 2944
"members of the" 3712
"m going to" 7104
"middle of the" 2304
"might be a" 1344
"millions of dollars" 1280
"m not a" 1344
"m not going" 1472
"m not sure" 3456
"more and more" 1920
"more of a" 1664
"more than a" 5184
"more than million" 1472
"more than one" 1792
"more than the" 1472
"more than years" 1344
"most of the" 6528
"mother s day" 2432
"m pretty sure" 1408
"much of the" 3264
"my way to" 1536
"needs to be" 3392
"need to be" 4160
"need to do" 1664
"need to get" 2688
"need to know" 1344
"need to make" 1280
"new york city" 3264
"new york times" 1408
"next to the" 1664
"no matter how" 1728
"no matter what" 2560
"not going to" 3968
"not have a" 1344
"nothing to do" 1792
"not sure what" 1408
"not to be" 1856
"not to mention" 1984
"not want to" 1792
"now i have" 1280
"now i m" 3904
"now it s" 2560
"now that i" 1472
"of all the" 2432
"of a new" 1280
"of course i" 1472
"of my favorite" 2560
"of my life" 2688
"of new york" 1280
"of one of" 1600
"of the best" 3136
"of the book" 1856
"of the building" 1344
"of the city" 3008
"of the company" 1408
"of the day" 6144
"of the first" 3392
"of the game" 2496
"of the house" 2304
"of their own" 1344
"of the most" 6528
"of the nation" 1344
"of the national" 1408
"of the new" 2752
"of the night" 1664
"of the other" 1536
"of the people" 1344
"of the same" 2304
"of the season" 2816
"of the state" 2752
"of the story" 1600
"of the things" 1600
"of the time" 2432
"of the top" 1600
"of the two" 1408
"of the united" 1600
"of the way" 2048
"of the week" 1984
"of the world" 4480
"of the year" 6720
"of this year" 1408
"of those who" 1344
"of thousands of" 1280
"omg omg omg" 1600
"on behalf of" 1536
"one of his" 1984
"one of my" 8064
"one of our" 1600
"one of the" 33792
"one of them" 2752
"one of those" 4992
"one thing i" 1472
"on how to" 1728
"on my way" 2112
"on the back" 1344
"on the first" 1664
"on the floor" 1856
"on the front" 1536
"on the ground" 1792
"on the internet" 1408
"on the new" 1344
"on the other" 3776
"on the phone" 1280
"on the radio" 1408
"on the road" 2304
"on the same" 1408
"on the side" 1984
"on the th" 2048
"on the way" 2560
"on top of" 2816
"on to the" 1600
"or at least" 1920
"out how to" 1408
"out in the" 2560
"out of a" 2176
"out of his" 1344
"out of my" 2432
"out of the" 14528
"out of town" 1344
"out on the" 1728
"out to be" 2240
"out to the" 2176
"over and over" 1536
"over the last" 2688
"over the next" 1536
"over the past" 3072
"over the years" 3136
"over to the" 1600
"part of a" 2752
"part of the" 11328
"part of this" 1408
"parts of the" 1408
"people don t" 1536
"people in the" 1984
"people who are" 2304
"people who have" 1536
"percent of the" 3328
"place in the" 1984
"please follow me" 1920
"point of view" 1344
"portion of the" 1408
"president barack obama" 1600
"president of the" 2624
"quite a bit" 1280
"ready for the" 1472
"really don t" 1344
"really want to" 1536
"re going to" 4928
"related to the" 1408
"rest of the" 6976
"right now i" 1728
"role in the" 1536
"s a good" 2304
"s a great" 2112
"said he is" 1408
"said he was" 2304
"said i m" 1600
"said in a" 3904
"said in an" 1280
"said it is" 1408
"said it s" 3776
"said it was" 2944
"said of the" 1344
"s a lot" 2240
"say that i" 1472
"s been a" 2432
"secretary of state" 1408
"seems to be" 2560
"seems to have" 1280
"seem to be" 2112
"s going to" 6208
"s hard to" 2240
"she didn t" 1536
"she doesn t" 1664
"she is a" 1344
"she was a" 1792
"should be a" 1408
"should have been" 1792
"shouldn t be" 1664
"shout out to" 1280
"side of the" 4736
"since i ve" 1344
"s in the" 1344
"s just a" 1472
"s kind of" 1280
"s not a" 2624
"s not the" 1984
"so i can" 2880
"so i could" 1280
"so if you" 1664
"so i m" 4224
"so it s" 3008
"so i was" 1280
"some kind of" 1344
"some of my" 2112
"some of the" 12864
"some of them" 1600
"some of these" 1600
"some sort of" 1600
"so much for" 1792
"so much to" 1728
"s one of" 1920
"sounds like a" 1280
"so you can" 1664
"spokesman for the" 1280
"spread the word" 1280
"state of the" 1344
"s the only" 1280
"s time for" 1600
"s time to" 1664
"such as the" 2112
"supposed to be" 2944
"s what i" 1984
"take care of" 1920
"talking about the" 1280
"talk to me" 1280
"t do it" 1280
"t even know" 1792
"t get to" 1408
"t going to" 1536
"thanks for following" 2176
"thanks for the" 15872
"thanks so much" 1664
"thank you for" 8640
"thank you so" 2112
"that doesn t" 3648
"that has been" 1344
"that have been" 1536
"that he had" 1472
"that he is" 1344
"that he s" 1280
"that he was" 3072
"that i am" 2944
"that i can" 2560
"that i could" 1792
"that i don" 1408
"that i had" 2304
"that i have" 3584
"that i m" 5184
"that is a" 1664
"that is the" 1984
"that it is" 3648
"that it s" 5056
"that it was" 3648
"that it will" 1536
"that it would" 1344
"that i ve" 3008
"that i was" 2624
"that i would" 1664
"that kind of" 1600
"that no one" 1472
"that s a" 6016
"that s all" 1472
"that she was" 1344
"that s how" 1664
"that s it" 1344
"that s just" 2176
"that s my" 1536
"that s not" 5568
"that s the" 6144
"that s what" 7680
"that s when" 1408
"that s why" 3200
"that there are" 1792
"that there is" 2944
"that there s" 1280
"that there was" 1856
"that they are" 2432
"that they re" 1408
"that they were" 1856
"that this is" 1472
"that was a" 2048
"that wasn t" 1728
"that was the" 1792
"that we are" 2112
"that we can" 1664
"that we have" 2304
"that we re" 1344
"that will be" 1792
"that would be" 4032
"that you are" 1728
"that you can" 2368
"that you have" 1600
"that you re" 1344
"t have a" 3328
"t have any" 1344
"t have the" 1408
"t have to" 5632
"the ability to" 2176
"the age of" 1344
"the amount of" 1920
"the back of" 3200
"the beginning of" 2368
"the best of" 2880
"the block of" 1856
"the bottom of" 2752
"the center of" 1536
"the chance to" 1536
"the city of" 2304
"the city s" 6144
"the company s" 3584
"the cost of" 2624
"the country s" 1408
"the county s" 1280
"the course of" 1408
"the day before" 1344
"the day i" 1472
"the death of" 1984
"the department of" 1728
"the difference between" 1728
"the edge of" 1344
"the end of" 13184
"the fact that" 7744
"the federal government" 1280
"the first half" 1664
"the first place" 1536
"the first round" 1536
"the first thing" 1280
"the first time" 8640
"the future of" 1472
"the government s" 1344
"the governor s" 1280
"the heart of" 2176
"the history of" 1472
"the idea of" 3136
"the idea that" 1408
"the importance of" 2112
"the kind of" 2112
"the lack of" 2176
"the last few" 1280
"the last time" 3072
"the last two" 1792
"the last years" 1280
"the late s" 1664
"the life of" 1280
"the los angeles" 1344
"the majority of" 2496
"the middle of" 4224
"the mid s" 1600
"them in a" 1280
"them in the" 2176
"the most important" 2112
"the name of" 1920
"the nation s" 3008
"the need for" 1280
"the need to" 1600
"the new jersey" 1280
"the new york" 3904
"the next day" 2752
"the next few" 1728
"the number of" 6144
"the one that" 1408
"the only one" 3008
"the only thing" 2176
"the only way" 1856
"the opportunity to" 2688
"the other day" 2176
"the other hand" 2112
"the other side" 2112
"the past few" 2496
"the people of" 1472
"the people who" 1984
"the point of" 1536
"the possibility of" 1408
"the power of" 1664
"the problem is" 1536
"the process of" 1536
"there are a" 1920
"there are many" 1600
"there are no" 1600
"there are some" 2368
"there have been" 1344
"there is a" 8128
"there is no" 8320
"there s a" 8768
"there s no" 4352
"there s nothing" 1920
"the rest of" 11456
"there was a" 5056
"there was no" 2560
"there will be" 3648
"the right to" 1536
"the role of" 1536
"the same thing" 3072
"the same time" 4864
"the same way" 2112
"the s and" 2048
"the school s" 1344
"these are the" 1664
"the side of" 2176
"the size of" 2112
"the spirit of" 1600
"the start of" 2816
"the state of" 2240
"the state s" 5248
"the story of" 2048
"the th century" 1280
"the things i" 1344
"the things that" 1728
"the time and" 1536
"the time he" 1280
"the time i" 1536
"the time of" 2752
"the time to" 2240
"the top of" 3648
"the united states" 7488
"the university of" 3904
"the use of" 1664
"the way i" 2240
"the way the" 1472
"the way to" 2240
"the way you" 1600
"the white house" 2176
"the world and" 1600
"the world s" 3072
"they are not" 2304
"they can t" 1600
"they didn t" 2048
"they don t" 6976
"the year old" 5440
"they have a" 1664
"they have to" 1344
"they need to" 1536
"they re not" 2368
"they want to" 2176
"they will be" 1472
"thing to do" 1280
"think i m" 2304
"think it s" 5248
"think that s" 1408
"this is a" 8832
"this is an" 1344
"this is my" 1664
"this is not" 3008
"this isn t" 2432
"this is one" 1408
"this is the" 9408
"this is what" 2112
"this kind of" 1600
"this was a" 2368
"this week s" 1664
"this year s" 2432
"those of you" 1600
"those who are" 1728
"thought i d" 1472
"thought it was" 2432
"time for a" 1472
"time in the" 1856
"time of the" 2176
"time of year" 1472
"time to get" 1984
"t know how" 1984
"t know if" 1728
"t know what" 3392
"t make it" 1280
"t need to" 1920
"to all of" 1344
"to all the" 2176
"to be a" 14912
"to be able" 3328
"to be an" 2304
"to be at" 1600
"to become a" 1408
"to be done" 1600
"to be honest" 1472
"to be in" 3456
"to believe that" 1280
"to be more" 2176
"to be on" 2496
"to be one" 1472
"to be the" 6592
"to be there" 1472
"to come back" 1344
"to come to" 1344
"to come up" 1408
"to continue to" 1408
"to create a" 2368
"to deal with" 2304
"to do a" 1600
"to do and" 1408
"to do is" 2112
"to do it" 4288
"to do so" 2624
"to do something" 1792
"to do that" 2048
"to do the" 2624
"to do this" 1472
"to do with" 6336
"to each other" 1536
"to ensure that" 1408
"to everyone who" 1280
"to figure out" 2560
"to find a" 2816
"to find out" 2624
"to find the" 1920
"to focus on" 2176
"to get a" 5248
"to get back" 2304
"to get in" 1344
"to get it" 1856
"to get my" 1728
"to get out" 1984
"to get some" 1920
"to get the" 4800
"to get to" 3200
"to give the" 1344
"to go back" 1600
"to go on" 1280
"to go out" 1920
"to go to" 7104
"to have a" 6464
"to have an" 1408
"to have the" 1792
"to have to" 1664
"to help the" 1408
"to keep it" 1408
"to keep the" 2496
"to know that" 1408
"to know what" 1728
"to listen to" 1920
"to live in" 1536
"to look at" 3008
"to make a" 5952
"to make it" 4480
"to make sure" 3648
"to make the" 3968
"to make this" 1536
"to me and" 1600
"to meet you" 1472
"to me that" 2048
"to one of" 1344
"to pay for" 2048
"to pick up" 1920
"top of the" 3264
"to respond to" 1344
"to say that" 3392
"to say the" 1280
"to see a" 2560
"to see how" 1920
"to see if" 2688
"to see it" 1472
"to see that" 1472
"to see the" 5248
"to see what" 2560
"to see you" 3776
"to share with" 1344
"to start the" 1408
"to stay in" 1280
"to take a" 3968
"to take the" 1984
"to talk about" 2624
"to talk to" 3072
"to tell you" 1984
"to the city" 1536
"to the hospital" 1280
"to the new" 1280
"to the next" 1536
"to the point" 2048
"to the public" 1408
"to the right" 1536
"to the state" 1344
"to the world" 1344
"to think about" 1344
"to try to" 3136
"to use the" 2944
"to watch the" 1728
"to work on" 2048
"to work with" 2688
"to worry about" 1472
"trip to the" 1408
"trying to figure" 1408
"trying to get" 2880
"t seem to" 1408
"t think i" 1536
"t think it" 1344
"turned out to" 1344
"t wait for" 3008
"t wait to" 5248
"t want to" 8896
"two of the" 1600
"two years ago" 1856
"up and down" 1280
"up at the" 1280
"up for the" 2048
"up in a" 1728
"up in the" 3392
"up on the" 1920
"up to a" 1472
"up to the" 4032
"up with a" 2816
"up with the" 2304
"used to be" 1792
"ve got a" 1856
"ve got to" 2240
"ve had a" 1344
"vice president of" 1408
"wait for the" 1856
"waiting for the" 1408
"wait to see" 2496
"wanted to be" 2112
"wants to be" 1344
"want to be" 5632
"want to do" 1920
"want to get" 1792
"want to go" 2944
"want to know" 2048
"want to make" 1792
"want to see" 2560
"want you to" 1536
"was able to" 2880
"was a good" 1472
"was a great" 2240
"was a little" 1600
"was at the" 1344
"was born in" 1280
"was going to" 5440
"was in the" 3072
"was not a" 1472
"wasn t a" 1536
"wasn t the" 1664
"was one of" 3776
"was on the" 1344
"was supposed to" 1344
"was the best" 1600
"was the first" 2496
"was trying to" 1920
"way to get" 1600
"way to go" 1280
"way to the" 1472
"we are all" 1280
"we are going" 1536
"we are not" 1408
"we can t" 2880
"we couldn t" 1472
"we didn t" 3904
"we don t" 6080
"we had a" 3520
"we had to" 1856
"we have a" 4672
"we have been" 1920
"we have to" 3712
"well as the" 1728
"we ll be" 2560
"we ll see" 2048
"we need to" 4736
"went to the" 2944
"were able to" 2496
"we re going" 2816
"were going to" 1664
"were in the" 1536
"we re not" 1920
"we ve been" 2816
"we ve got" 2496
"we ve had" 1664
"we want to" 2944
"we will be" 2816
"we will have" 1280
"what are you" 1984
"what do you" 3712
"what i do" 1344
"what i m" 1984
"what is the" 1856
"what it is" 1984
"what it was" 1472
"what i was" 1280
"what kind of" 1792
"what s the" 1856
"what s up" 1920
"what s your" 1728
"what to do" 2880
"what you re" 1728
"when he was" 2688
"when i get" 1792
"when i m" 2752
"when it comes" 4032
"when it s" 1664
"when it was" 1280
"when i was" 5184
"when she was" 1472
"when they are" 1344
"when they were" 1472
"when you are" 1344
"when you get" 1664
"when you re" 4416
"where are you" 1408
"where you can" 1344
"whether or not" 1984
"which is a" 1536
"while i was" 1280
"who doesn t" 1536
"who don t" 2112
"who has been" 1856
"will be a" 4288
"will be able" 1536
"will be at" 1920
"will be in" 1728
"will be the" 2624
"will continue to" 2048
"will have a" 1600
"will have to" 2624
"will need to" 1472
"will not be" 1856
"wish i could" 2816
"wish i was" 1408
"with a few" 1536
"with a little" 1280
"with all the" 2240
"won t be" 4608
"working on a" 1280
"working on the" 1280
"would be a" 4224
"would be the" 1984
"would have been" 3456
"would have to" 2176
"would like to" 5440
"would love to" 3840
"would not be" 1920
"wouldn t be" 2240
"wouldn t have" 1792
"years ago i" 1536
"you and i" 1280
"you are a" 2176
"you are in" 1408
"you are not" 2048
"you are the" 1344
"you can also" 1280
"you can do" 1280
"you can find" 1472
"you can get" 2240
"you can see" 2816
"you can t" 8000
"you didn t" 1984
"you don t" 14592
"you for the" 3264
"you for your" 1344
"you get a" 1536
"you going to" 1536
"you had a" 1280
"you have a" 5248
"you have any" 1536
"you haven t" 2240
"you have the" 1472
"you have to" 7424
"you know i" 1472
"you know it" 1600
"you know that" 1984
"you know the" 1408
"you know what" 3072
"you know you" 1344
"you ll be" 1728
"you need to" 4672
"you re a" 3200
"you re going" 1920
"you re in" 1984
"you re not" 5632
"you re so" 1600
"you re the" 1344
"you re welcome" 1920
"you so much" 2816
"you think you" 1600
"you ve been" 1472
"you ve got" 2560
"you want to" 8640
"you will be" 2176
"you won t" 2240
"a big fan of" 1408
"a bit of a" 3584
"a couple of days" 2048
"a couple of weeks" 1664
"a few weeks ago" 2304
"a few years ago" 2688
"a great deal of" 1536
"a great way to" 2176
"a little bit of" 1920
"all of a sudden" 1664
"all over the place" 1536
"all the way to" 1280
"a lot of fun" 1536
"a lot of people" 3584
"a lot of things" 1792
"a lot of time" 1920
"a lot of work" 2048
"a member of the" 3840
"and a lot of" 2176
"and i can t" 2048
"and i didn t" 1792
"and i don t" 5120
"and i have been" 1280
"and i m not" 2560
"and i think it" 1280
"and it s a" 1664
"and it s not" 2048
"and it will be" 1280
"and i ve been" 1408
"and i will be" 1280
"and now i m" 2048
"and one of the" 1920
"and out of the" 1920
"and that s what" 1280
"and then there s" 1280
"and the rest of" 2304
"a piece of the" 1280
"are a lot of" 1408
"are going to be" 2048
"are you going to" 2304
"as a result of" 2688
"as far as i" 1792
"as long as i" 1664
"as long as the" 1280
"as much as i" 1920
"as much as possible" 1536
"as one of the" 1920
"as part of a" 1280
"as part of the" 1920
"a spokesman for the" 1792
"as soon as i" 1920
"as well as a" 2048
"as well as the" 3456
"at a time when" 1920
"a time when the" 1280
"at the beginning of" 1664
"at the bottom of" 2176
"at the end of" 9856
"at the same time" 8320
"at the start of" 2176
"at the time of" 3328
"at the top of" 2432
"at the university of" 3712
"a whole lot of" 1920
"a wide range of" 1280
"back in the day" 1536
"be able to get" 1536
"be a part of" 2560
"because i don t" 2432
"be one of the" 1408
"bring to a boil" 1280
"but he said he" 1408
"but i can t" 2048
"but i couldn t" 2048
"but i didn t" 1536
"but i don t" 6272
"but i m not" 2560
"but it didn t" 1408
"but it doesn t" 1408
"but i think it" 1536
"but it s a" 1792
"but it s not" 2048
"but that doesn t" 2304
"but that s not" 1536
"by the end of" 6016
"by the time he" 1408
"can i get a" 1536
"can t believe i" 1664
"can t help but" 1408
"can t tell you" 1280
"can t wait for" 5760
"can t wait to" 10368
"come up with a" 1920
"contributed to this report" 1920
"did not want to" 1280
"didn t even know" 1408
"didn t get to" 1408
"didn t have a" 1280
"didn t have to" 2304
"didn t want to" 3712
"did you know that" 1536
"doesn t have a" 1408
"doesn t have to" 1536
"doesn t seem to" 1536
"doesn t want to" 1920
"do not want to" 1536
"don t even know" 1920
"don t forget to" 2304
"don t get it" 1280
"don t get me" 1664
"don t have a" 3840
"don t have any" 1792
"don t have to" 6400
"don t know about" 1280
"don t know how" 3328
"don t know if" 2816
"don t know what" 5632
"don t know where" 1280
"don t know why" 1792
"don t need to" 2304
"don t think i" 2688
"don t think it" 1536
"don t think that" 1408
"don t think they" 1280
"don t want to" 11264
"don t worry i" 1408
"do the right thing" 1280
"do you have a" 2304
"do you have any" 1792
"do you want to" 2048
"end of the day" 2560
"end of the year" 1792
"feel like i ve" 1280
"fell in love with" 1408
"figure out how to" 1664
"for a couple of" 1664
"for a long time" 3968
"for as long as" 1408
"for more than a" 1408
"for more than years" 1408
"for the first time" 9344
"for the rest of" 4352
"for the sake of" 1792
"for the shout out" 1408
"for those of you" 2432
"forward to seeing you" 1792
"from time to time" 1664
"get a chance to" 1280
"going to be a" 7040
"going to have to" 2048
"had a chance to" 1792
"had a great time" 1664
"had a lot of" 1920
"happy mother s day" 1280
"has a lot of" 1792
"has to do with" 1408
"have a great day" 2432
"have a lot of" 2688
"have been able to" 1280
"have to do is" 1408
"have to worry about" 1536
"he said it s" 1664
"he said it was" 1536
"he s going to" 1792
"he s got a" 1280
"he s one of" 1280
"hope all is well" 2176
"hope to see you" 1664
"hope you have a" 1280
"hundreds of thousands of" 1280
"i am going to" 3456
"i am not sure" 1792
"i am trying to" 1408
"i can t believe" 2560
"i can t even" 1920
"i can t get" 1280
"i can t help" 1408
"i can t say" 1280
"i can t stop" 1408
"i can t tell" 1408
"i can t wait" 6912
"i didn t even" 2048
"i didn t get" 1408
"i didn t have" 2560
"i didn t know" 4096
"i didn t really" 1408
"i didn t see" 1280
"i didn t think" 2176
"i didn t want" 2432
"i d like to" 5248
"i d love to" 2816
"i do not know" 1280
"i don t believe" 1408
"i don t care" 2944
"i don t even" 2944
"i don t feel" 2432
"i don t get" 2432
"i don t have" 8832
"i don t know" 17664
"i don t like" 4864
"i don t need" 2176
"i don t really" 1408
"i don t remember" 1408
"i don t see" 2816
"i don t think" 14208
"i don t understand" 1280
"i don t want" 7680
"i feel like i" 3072
"i felt like i" 1280
"if i don t" 2432
"if it doesn t" 1280
"if they don t" 1792
"if you are a" 1280
"if you can t" 1920
"if you don t" 8704
"if you have any" 1280
"if you haven t" 3072
"if you re a" 1536
"if you re not" 3072
"if you want to" 6016
"i had to do" 1280
"i have no idea" 2304
"i haven t been" 2176
"i haven t seen" 1664
"i have to do" 1408
"i have to say" 2688
"i just don t" 1536
"i just wanted to" 1792
"i just want to" 2432
"i know i know" 1408
"i know i m" 1408
"i know it s" 1664
"i ll be there" 1920
"i ll have to" 1408
"i look forward to" 1920
"i m about to" 2048
"i m a little" 1792
"i m glad i" 1920
"i m going to" 14208
